"Year","CAGR"
1976,NA
1977,NA
1978,NA
1979,NA
1980,NA
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,18.5937781526873
1998,17.0489770726296
1999,15.6301169010241
2000,13.9922181933005
2001,12.8731852363303
2002,12.0697033942303
2003,10.9589001883625
2004,9.89953603725289
2005,8.6861091366464
2006,7.77611613932006
2007,7.07457286521378
2008,6.20114960540059
2009,5.35607285448927
2010,4.52976908527685
2011,3.63432438254752
2012,2.84840977289202
2013,2.12681356621096
2014,1.40817858879954
2015,0.784253183989869
2016,0.240996005681238
2017,-0.21963050385676
2018,-0.638926941800633
2019,-1.00565505786916
2020,-1.32063562329473
2021,-1.54395117510493
2022,-1.74926660798702
2023,-1.9499697276266
2024,-1.56239874571467
