"Year","Segment","SegmentLabel","Category","per_100km"
1976,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1976,"albany-augusta","Augusta–Albany","Unaccompanied",0.858700306927864
1977,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
1977,"albany-augusta","Augusta–Albany","Unaccompanied",1.14493374257049
1977,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.563934014635649
1977,"albany-esperance","Albany–Esperance","Unaccompanied",1.1278680292713
1977,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",0
1977,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",0
1978,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1978,"albany-augusta","Augusta–Albany","Unaccompanied",2.00363404949835
1978,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.751912019514199
1978,"albany-esperance","Albany–Esperance","Unaccompanied",0.18797800487855
1978,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",0.825368588811618
1978,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",0.412684294405809
1979,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
1979,"albany-augusta","Augusta–Albany","Unaccompanied",0
1979,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.3759560097571
1979,"albany-esperance","Albany–Esperance","Unaccompanied",0.751912019514199
1979,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",0
1979,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",0.206342147202904
1980,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1980,"albany-augusta","Augusta–Albany","Unaccompanied",1.71740061385573
1980,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.563934014635649
1980,"albany-esperance","Albany–Esperance","Unaccompanied",3.759560097571
1981,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1981,"albany-augusta","Augusta–Albany","Unaccompanied",2.00363404949835
1981,"albany-esperance","Albany–Esperance","Cow-calf pairs",0
1981,"albany-esperance","Albany–Esperance","Unaccompanied",3.57158209269245
1982,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
1982,"albany-augusta","Augusta–Albany","Unaccompanied",0
1983,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.572466871285243
1983,"albany-augusta","Augusta–Albany","Unaccompanied",1.71740061385573
1983,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.3759560097571
1983,"albany-esperance","Albany–Esperance","Unaccompanied",0.751912019514199
1983,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",1.65073717762324
1983,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",0.206342147202904
1984,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1984,"albany-augusta","Augusta–Albany","Unaccompanied",0.572466871285243
1984,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.751912019514199
1984,"albany-esperance","Albany–Esperance","Unaccompanied",0.751912019514199
1984,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",0.206342147202904
1984,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",1.65073717762324
1984,"caiguna-ceduna","Caiguna–Ceduna","Cow-calf pairs",1.79784228243172
1984,"caiguna-ceduna","Caiguna–Ceduna","Unaccompanied",2.69676342364758
1985,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1985,"albany-augusta","Augusta–Albany","Unaccompanied",0.858700306927864
1985,"albany-esperance","Albany–Esperance","Cow-calf pairs",0.939890024392749
1985,"albany-esperance","Albany–Esperance","Unaccompanied",2.44371406342115
1985,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",0.206342147202904
1985,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",2.26976361923195
1986,"albany-augusta","Augusta–Albany","Cow-calf pairs",0
1986,"albany-augusta","Augusta–Albany","Unaccompanied",0
1986,"albany-esperance","Albany–Esperance","Cow-calf pairs",0
1986,"albany-esperance","Albany–Esperance","Unaccompanied",0
1986,"esperance-caiguna","Esperance–Caiguna","Cow-calf pairs",0
1986,"esperance-caiguna","Esperance–Caiguna","Unaccompanied",0
1987,"albany-augusta","Augusta–Albany","Cow-calf pairs",0.286233435642621
1987,"albany-augusta","Augusta–Albany","Unaccompanied",0.858700306927864
1987,"albany-esperance","Albany–Esperance","Cow-calf pairs",1.31584603414985
1987,"albany-esperance","Albany–Esperance","Unaccompanied",3.0076480780568
