"Year","Category","MeanFit","CI_lo","CI_up"
1976,"Cow-calf pairs",2.04355265912601,-140.01988848279,305.676649840673
1976,"Unaccompanied",11.3448147796339,-518.213411753084,667.944107366248
1977,"Cow-calf pairs",2.60078945748435,-125.78798175497,278.02486894062
1977,"Unaccompanied",11.5879747180193,-481.777939322298,619.90827317441
1978,"Cow-calf pairs",3.34973396216763,-107.75398804819,242.600808036331
1978,"Unaccompanied",11.9619811010332,-434.885451817421,558.058586207749
1979,"Cow-calf pairs",4.1164948826796,-91.2200061086958,209.544290857189
1979,"Unaccompanied",12.4383805143482,-390.640824597499,499.757282536339
1980,"Cow-calf pairs",4.93662169256143,-76.199721678426,178.680341377292
1980,"Unaccompanied",13.0813938159626,-348.503130214938,444.378005383902
1981,"Cow-calf pairs",5.84956866255201,-62.8825179790747,150.059352758779
1981,"Unaccompanied",13.9674333255717,-308.084703078277,391.507384496069
1982,"Cow-calf pairs",6.85494944879007,-52.2218636486754,125.270788435652
1982,"Unaccompanied",15.14206193936,-270.932546822702,343.315250196967
1983,"Cow-calf pairs",7.97142853739301,-44.765426227921,105.099842148107
1983,"Unaccompanied",16.6635523902116,-237.253771448657,300.294025320131
1984,"Cow-calf pairs",9.18577388675625,-41.0537257185978,90.5598212468192
1984,"Unaccompanied",18.5373610081212,-207.620313100332,263.442212126088
1985,"Cow-calf pairs",10.5422858371656,-41.1245072199159,81.6113639716893
1985,"Unaccompanied",20.8550293215875,-180.966249275572,231.742396249097
1986,"Cow-calf pairs",12.0956671619496,-44.3150869354582,77.6466241458001
1986,"Unaccompanied",23.7405765606723,-156.39622226286,204.506782998441
1987,"Cow-calf pairs",13.8339162336358,-48.6894518237152,77.2173210705499
1987,"Unaccompanied",27.2033007601107,-134.235277789642,182.505846714469
1988,"Cow-calf pairs",15.7756903159233,-51.9579109291237,78.2699736539883
1988,"Unaccompanied",31.3011013814837,-113.951850080071,165.49138789147
1989,"Cow-calf pairs",17.8839900991028,-52.5901337367212,79.3788976896449
1989,"Unaccompanied",35.9419170745676,-95.2741468384477,153.16089278287
1990,"Cow-calf pairs",20.2208260219139,-50.2743902115017,80.1173218460312
1990,"Unaccompanied",41.1791637926044,-77.1540374533803,144.411536544288
1991,"Cow-calf pairs",22.8644394191508,-45.095010460911,80.570191516174
1991,"Unaccompanied",47.0847080932748,-58.7940442412083,138.510781601575
